Primary Type,Location Description,Domestic,Latitude,Longitude,month,day,Period_1,Period_2
1,82,0,41.938709882,-87.786070196,7,31,0,0
1,101,0,41.992328031999996,-87.740552666,7,31,0,0
1,101,0,41.996438802,-87.691064419,7,31,0,0
1,101,0,41.706086086999996,-87.64159343799999,7,31,0,1
1,101,0,41.793766589,-87.63297977799999,7,31,0,1
1,101,0,41.92393036,-87.76924185899999,7,31,0,0
1,101,0,41.999975093,-87.694825564,7,31,0,0
1,101,0,41.952126952,-87.77535686600001,7,31,0,1
1,101,0,42.018850609,-87.70195273799999,7,31,1,0
1,101,0,41.899729486999995,-87.636848065,7,31,0,1
1,101,0,41.950901724,-87.705491151,7,31,0,1
1,101,0,41.930118397,-87.663488088,7,31,0,1
1,10,0,,,6,24,1,0
0,101,0,41.883716109,-87.73557549899999,7,31,0,0
0,101,0,41.879165756999996,-87.70316440799999,7,31,0,1
0,101,1,41.894795241,-87.76933302299999,7,31,0,1
1,101,0,41.921814838,-87.72056618399999,7,23,0,1
1,87,0,41.691878781,-87.61961641,7,31,1,0
1,101,0,41.920629653,-87.63641506,7,31,0,1
1,101,0,41.790546107,-87.598053945,7,29,0,1
1,101,1,41.919159046,-87.71250806,7,18,0,1
2,101,0,42.007857654,-87.668935536,8,1,0,0
1,101,0,41.883374107,-87.76164823299999,8,1,0,0
2,12,0,41.871732887,-87.716547025,8,1,1,0
1,101,0,41.923269869,-87.690068045,8,1,0,0
1,101,0,41.888962478,-87.705124789,8,1,0,0
1,101,0,41.795536462,-87.65489804,8,1,1,0
2,96,0,41.946542477,-87.73608437600001,8,1,1,0
1,101,0,41.889053331,-87.642120381,8,1,0,0
2,98,0,41.890865773,-87.706409952,8,1,0,1
2,12,0,41.907893726,-87.775558535,8,1,0,1
2,12,0,41.870927379,-87.726060463,8,1,0,1
2,98,0,41.874225337,-87.735880575,8,1,1,0
2,101,0,41.87846173,-87.737853374,8,1,1,0
2,101,0,41.88063075,-87.73383796200001,8,1,0,1
2,101,0,41.900949562,-87.752069496,8,1,0,1
2,101,0,41.968261635,-87.725901746,8,1,0,1
2,82,0,41.880660786,-87.731186405,8,1,0,1
1,101,0,41.898918736,-87.679586836,8,1,0,1
2,12,0,41.878884752,-87.724325375,8,1,0,1
2,98,0,41.78130315,-87.663539586,8,1,0,1
2,98,0,41.893668506,-87.712123242,8,1,0,1
1,98,0,41.726028494,-87.548397775,8,1,0,0
2,98,0,41.885342444,-87.710092279,8,1,0,1
2,98,0,41.891015341,-87.71374291,8,1,0,1
1,48,0,41.719772465,-87.56232714,8,1,0,0
2,101,0,41.749631138000005,-87.589055279,8,1,0,1
2,98,0,41.893659788,-87.71304889,8,1,0,1
2,101,0,41.874494994,-87.717317244,8,1,0,0
